wof:id,sg:id
169539337,SG_2PWtGT5ffXLYvH0IeTOaGA_36.797989_34.628223@1306270051
169544067,SG_1M9LMqafpzNkT753f6qKDH_37.765575_30.555473@1306270051
169548001,SG_1XU2aOXuDxqG0wYOPnP7pX_41.021832_29.015442@1306270051
169541099,SG_4kURY6LP3ntmRTnNBKdHZU_41.024387_29.084137@1306270051
169545053,SG_2ZktYT4g4KJV441EbsMlk5_39.943874_32.856033@1306270051
169543087,SG_4sWd5I4vopoB6EoTdVbvFf_39.939426_32.860870@1306270051
169548011,SG_0IL7DeuKw7PZYpBl6YUuWu_41.027885_28.976204@1306270051
169539347,SG_4ZFKYaoeHEwXduYaaLW2O1_41.043308_29.006935@1306270051
169544087,SG_2jXE5S7qvdg769PTPEiQOF_41.128757_29.036306@1306270051
169541115,SG_5BX4PKbLdivnI35BX5XNGM_37.072685_37.368759@1306270051
169545061,SG_2cryptQvdORYYZJvtXYYa6_38.420898_27.130079@1306270051
169548023,SG_0FVGmQHRIhtMamwhloyvnF_39.943874_32.856033@1306270051
169549001,SG_6BZFBdyizggUimmB7HptVb_41.012379_28.975925@1306270051
169543101,SG_5Td8uqEFOSKdPwnbB8Q4q3_38.347500_38.314301@1306270051
169539365,SG_3fbnGzVMVXjrDy3WTZ9Suh_37.854847_32.419769@1306270051
169544095,SG_0Q5G0c2YUiIWBwzuGkBZpp_40.194756_29.058004@1306270051
169541139,SG_3yXgKdlPbMTxNuIVysuj7J_39.576542_32.132072@1306270051
169545079,SG_63ahPEsA8NGaiD7iNHOyH1_37.922543_40.221558@1306270051
169543111,SG_6aWuGPjBjd0dQJ2zsZgHnR_39.913414_32.856911@1306270051
169539371,SG_0f7My64xF1JrwHXpRRumdv_38.420303_27.129738@1306270051
169549007,SG_5DKyqyNlV1DnaBx4NhRFye_41.012379_28.975925@1306270051
169548043,SG_1kC5PWXpDanyigrKKittI2_38.722576_35.489136@1306270051
169544111,SG_45ZcBmvjkDQ4OuVdyQxc5k_36.797855_34.625763@1306270051
169541149,SG_3lYmaEdX0sBJcITtqqHdcZ_39.922398_32.809486@1306270051
169545085,SG_4zyaCt8A4WWDe5EOb6D882_41.080627_28.992979@1306270051
169548047,SG_0U2gM7PtJtib6MzSwJMpBN_41.012379_28.975925@1306270051
169539389,SG_6ab9fqaCNc23iFLx5R45wr_37.781094_29.083725@1306270051
169549017,SG_0MV2TxXFcxeA60ZdGVzWTp_41.012379_28.975925@1306270051
169544121,SG_42fDpkWP4f3VhQlOSXSLdJ_37.062946_37.376102@1306270051
169548055,SG_5uMeYamrbBxvmP3R2sV1vn_36.887505_30.703135@1306270051
169541167,SG_4z2szrYAK6u04464hr6KbK_36.797989_34.628223@1306270051
169545097,SG_65VTdgV0mELVaWSPXyez9d_41.012379_28.975925@1306270051
169539419,SG_4VUpeTgualZ1C1HOPqKQ3M_41.012379_28.975925@1306270051
169526029,SG_2P9iFUfhBlJQf678OcJQEE_37.062946_37.376102@1306270050
169548071,SG_5Whs6JYMabaSHDYLgqgFUS_38.317890_26.783634@1306270051
169549023,SG_4y5FCNK8e1B4WRkl5Hepdj_41.012379_28.975925@1306270051
169544135,SG_1v7ONcbBpzxBkKpvChcz4B_40.988098_37.874001@1306270051
169541173,SG_46y1ddBTFu4x8FFhOSfAth_41.011845_28.958311@1306270051
169548091,SG_2YY8uUg7ksHoUSyNK9zCIA_39.947388_32.872536@1306270051
169545107,SG_0fTi77sZhk6LqZ055caaj6_37.000717_35.313736@1306270051
169539425,SG_7N9M0yPbSlXlk5nyx2iqKH_41.012379_28.975925@1306270051
169544145,SG_0tQrbeU0z3wPpazw8O8fWg_40.764736_29.926029@1306270051
169549031,SG_2D2kALqWcsaU730StUgtkr_41.025505_28.972513@1306270051
169548107,SG_4nxJzSMnzh94ViQqSnL3gV_40.306301_36.555901@1306270051
169550007,SG_4jltt3hBSfpRiTcjjpR49V_41.012379_28.975925@1306270051
169545115,SG_0STNEChAnsTLFRMHxJeQdu_40.870747_29.287254@1306270051
169548109,SG_0YzQMEmkT3L0mhq7U7dlbH_38.418697_27.129686@1306270051
169549045,SG_2x8QYoIPofvVCQj6CNGVoj_40.891167_29.190931@1306270051
169539459,SG_2JjBXbOV8mk7Ncc4O5cxcR_41.012379_28.975925@1306270051
169551001,SG_6nMcwonElic3KEaqy56MkN_41.012379_28.975925@1306270051
169545127,SG_4nOlSpROPbwHPdfspbzwUt_38.423943_27.131872@1306270051
169550011,SG_1V2OAjGUxRo4tEly0rD7tY_38.418697_27.129686@1306270051
169544153,SG_4JNRmfGfQlHb9u9uvzHZ7z_40.870182_29.280857@1306270051
169539467,SG_4R760qaS213aV9XacX6B7L_41.012379_28.975925@1306270051
169549057,SG_55jo9o6MfSTvd4c9lD6VJj_41.025505_28.972513@1306270051
169527003,SG_3zVckOaog3YtTwYhTNxsf1_40.990456_29.273825@1306270050
169551011,SG_4wLXzkQ4oP1ODMDdWnDwbj_40.988670_28.796736@1306270051
169545143,SG_5FbBYpg5eXz0E0LjeAFfwV_41.285519_36.310287@1306270051
169544173,SG_2pOgfK7pBywS649Rwwc6Nn_39.941807_32.857605@1306270051
169539477,SG_4DhyCOpDMtvrFTJ2NqDaty_41.012379_28.975925@1306270051
169552019,SG_0aKDdFcBdRaDpo3xJpN38k_41.012379_28.975925@1306270051
169551033,SG_4gdVsBfXEXd3KyJJzjqmHk_40.980640_28.793358@1306270051
169549067,SG_2Db1g8vIP6nfiwYSSkquHN_41.025505_28.972513@1306270051
169527017,SG_3P0FgjOt3Q5qhOuz0YrNnM_37.077015_37.355015@1306270050
169545149,SG_3WqXw6OgdE76Fz5L0Vhqrj_39.763737_30.516232@1306270051
169544181,SG_1TrSlY13Lx6fh0DFG2L2FD_39.943874_32.856033@1306270051
169552029,SG_6SdbJCxi44s4KwKcGeHZIL_36.401848_36.349812@1306270051
169539481,SG_0SbJDNXhpBuAT8nlPpimE2_41.012379_28.975925@1306270051
169551035,SG_5yE4wN3qzUzbjpLqWvmG16_40.979359_28.883368@1306270051
169549085,SG_3gElsYauzzbJVOcVzUTRs0_38.735550_35.439487@1306270051
169545169,SG_2iLTlVgG60HLThO7hQwOXY_40.778625_30.402559@1306270051
169552041,SG_4hUSRsKuK4RShzm6vAxLYU_41.012379_28.975925@1306270051
169544189,SG_49H6y9Cd0LIkQwAMlCJAfG_39.943874_32.856033@1306270051
169539487,SG_5mebe98H2SyyAQdAadQ6mD_38.429928_27.203135@1306270051
169552049,SG_0hwGPw87rveHwlEbj7RwLN_37.871536_32.499027@1306270051
169551043,SG_0CQguk09BjgtZtpf3oZXij_41.012379_28.975925@1306270051
169549095,SG_2uEHGNrrNqNXzvoQMsO3L3_41.025505_28.972513@1306270051
169544211,SG_5PuyyTSXQFD30ZVW32GC0v_38.224503_27.977797@1306270051
