wof:id,sg:id
1108610921,SG_1utt84TAr9Q0weRmHr4v7w_38.279129_36.439323@1306270062
1108592491,SG_33gB5JAlrP88fyef22wpeC_37.219601_28.365801@1306270058
1108571253,SG_1TL9ftpXk5mmumsNB7X0se_41.030819_29.238392@1306270054
1108567073,SG_4qs8TXDz4AZtyZntuTmRBS_38.418697_27.129686@1306270054
1108592493,SG_6nUm4Gf6e8VMgMlBInmAcR_38.447441_27.247335@1306270058
1108610923,SG_4V4vT8TRa7vVB1vsp9MAHH_38.348892_38.319527@1306270062
1108592495,SG_6Hv0wCH13RMZ25jtcZ2Q5O_38.441216_27.185354@1306270058
1108571255,SG_7ORn63LUowmX9XyQ7U3BDU_37.011478_35.323200@1306270054
1108567079,SG_7kh9AXtDy0ZaX5a7bVzCdm_41.051327_28.973213@1306270054
1108610925,SG_6MbEAJD3nu1dlyoU1cSa8S_38.425148_27.142302@1306270062
1108592497,SG_2njcnhqGDwe5deHbB7UlC9_40.194756_29.058004@1306270058
1108610927,SG_6rWy8tlo9ztDEh9NIUCZWd_40.899349_29.203279@1306270062
1108571257,SG_1n9mXZwA7UioTl4ctkLC1O_41.043083_28.907413@1306270054
1108567081,SG_5TRCYxAYklFulbaPx7nJOo_37.791618_29.084343@1306270054
1108592499,SG_6FSc0TnsYxy7P6P09xIUi7_38.465164_27.227455@1306270058
1108610929,SG_2Ws7Uh8AKGyoFjH3mbsPSl_39.644882_27.885363@1306270062
1108592501,SG_7iPEohKzi81YQHmVOxPWPp_37.811703_28.486397@1306270058
1108571259,SG_1MlwKMgZLDEtKH0YddmqrN_39.943874_32.856033@1306270054
1108610931,SG_2yeYGUVuzetKqVmCL7uhuM_41.040855_28.986183@1306270062
1108567083,SG_0ztjc1ulNVpTH5u8ah98VN_41.012379_28.975925@1306270054
1108592503,SG_36fBUT3jJXKx0Muj07H9mi_38.330048_26.421059@1306270058
1108610933,SG_6MU9i0jPHNL5vqm1qcFix7_39.644882_27.885363@1306270062
1108592507,SG_4cUNFK7FSghf0UJWUfT6rD_38.722576_35.489136@1306270058
1108567085,SG_6SXOUXJsT3sBXmdqJIdrAP_38.418697_27.129686@1306270054
1108571261,SG_7lXkPmuvJN32qhuisfXIm6_40.930733_29.144114@1306270054
1108610935,SG_1D2xFLv5sHXa1iEsxC1qLw_41.040855_28.986183@1306270062
1108592509,SG_6Ohpjp74B4DTyUzDFdTqsv_38.366459_27.135475@1306270058
1108620001,SG_5sVmigrxEOdE2agYUneRmV_36.945946_37.441673@1306270063
1108630001,SG_2FTqKhDhiFnTg9feE4Gs2S_41.070580_28.996845@1306270065
1108567087,SG_0r8Uf7TQlWw1k5Jlf4WTN7_38.425728_27.198065@1306270054
1108610939,SG_7W5YOPcnu4ainM38A0c0sb_41.677040_26.554070@1306270062
1108571263,SG_4YuP9Hp2vr6Be9EQeTug0w_41.051620_28.901155@1306270054
1108620003,SG_5uzvhuWjFcEyRVWRyG3SDB_39.942928_32.860481@1306270063
1108610941,SG_6dtoV8H7aijjLnAOL1aXiH_41.040855_28.986183@1306270062
1108571267,SG_4nGNzpkBOyJVSfEjgCu6dL_39.971226_32.740742@1306270054
1108567093,SG_1X4FUypyVawFgpDHcN6LwG_41.081684_29.015963@1306270054
1108610945,SG_3pJIT7VNewtWeAERU3HtKq_40.979488_29.104582@1306270062
1108620005,SG_15fn4nY4mz6eWf2emrK6vJ_37.062935_37.378159@1306270063
1108571269,SG_3jwGEG11fhuC7C3KEKtTq1_41.012379_28.975925@1306270054
1108610947,SG_1gBqVJZLy83yKzvYE7wYwg_41.040855_28.986183@1306270062
1108610949,SG_2Ot9YtgO5hP46J4JKtYXMq_41.040855_28.986183@1306270062
1108620007,SG_4miNqjD3TEkfbkv7Pz58oo_41.069389_28.780670@1306270063
1108571281,SG_2xLmCD5pQj9gDtT7QQZ45Y_41.012379_28.975925@1306270054
1108610961,SG_6qaipni6wrfpwWJz9BhXgs_38.279129_36.439323@1306270062
1108571285,SG_6kbkrykhRu2nNT4uSvPTpn_41.035900_28.679001@1306270054
1108620011,SG_7bydp48trAU7DmflYA5E2A_41.040855_28.986183@1306270063
1108610963,SG_2FDoXB6BnXruQ5N6XzONuI_41.040855_28.986183@1306270062
1108620013,SG_0AoKrOh1rU7HsPFWCgOAQJ_36.945946_37.441673@1306270063
1108571287,SG_1MH85yYOG7pqsd5OUAK1Pu_40.981182_29.087727@1306270054
1108610965,SG_6CbcZO3VSAbcUngXFMDppB_41.040855_28.986183@1306270062
1108620015,SG_2KKS8W7dHmNDqixw0Opquj_40.330116_36.555653@1306270063
1108571291,SG_4mPyZZJlCtWcRvlWzT6dfv_39.970409_32.741032@1306270054
169527003,SG_3zVckOaog3YtTwYhTNxsf1_40.990456_29.273825@1306270050
1108620021,SG_7UqjRQR44YR3FTqlJmvxFt_41.040855_28.986183@1306270063
169528007,SG_6ogxZYyMHg6XlmSpDqOhc5_40.188728_29.086800@1306270050
1108571295,SG_63DlHxIFaMjrBsGiBn2x6Q_41.051620_28.901155@1306270054
169526029,SG_2P9iFUfhBlJQf678OcJQEE_37.062946_37.376102@1306270050
169527017,SG_3P0FgjOt3Q5qhOuz0YrNnM_37.077015_37.355015@1306270050
1108660001,SG_3pnn7bOmKVbr0QLoyQlA2q_39.943874_32.856033@1306270071
169528027,SG_05oa1upQhG7DEgfc0k5xpu_40.649315_29.285473@1306270050
1108571297,SG_3QnA2W8Sqb94yf44e98o4j_39.962585_32.890823@1306270054
169527025,SG_2qs9lSiDMzRAJMZKth881G_41.012379_28.975925@1306270050
169526037,SG_2OY3M6B22w95S5t4kKr5Li_41.012379_28.975925@1306270050
1108660003,SG_3BB1QzTrGm8AEE79VMEgNA_40.907318_29.229172@1306270071
169527037,SG_45GAGCdrGZQbYhOcmanMWQ_41.012379_28.975925@1306270050
1108571303,SG_75Oc2iPi5zkOjsAW0T4vB8_41.051620_28.901155@1306270054
169526045,SG_4FWgMuQKCzJ6pMS5dF6ycn_41.059353_28.991837@1306270050
169527045,SG_4rDtzjc4utUKqzFV1JWn8w_41.062069_28.988760@1306270050
169530007,SG_2sAXqpasZ44m2D6yut4pWi_40.947395_29.395098@1306270050
1108660009,SG_57oOO7WSwUbwr1o3mBUCP8_40.907318_29.229172@1306270071
169529009,SG_7NkSyd2Gr4pWjkWCYTfkDd_38.619419_27.415497@1306270050
169527059,SG_0RBtaPQMX1xjnjbGCIpfbV_38.388386_27.161169@1306270050
169530027,SG_2zyg3jsLTmoLinaDlM7s2e_37.743332_29.291389@1306270050
169529017,SG_5h1Wnu3x5IReIkx7qzrfDM_41.057102_28.953358@1306270050
1108660011,SG_0NwLNzpdRZGlBsGA3auvc5_40.907318_29.229172@1306270071
169530035,SG_1Js5vfeGTx0ShxAz9R2rDG_38.418697_27.129686@1306270050
169527065,SG_7m7SntnNRUCnBVzJ0i8Stt_41.021832_29.015442@1306270050
1108660013,SG_4yhFzSDZE05TjyfTcfT8dO_40.907318_29.229172@1306270071
169529051,SG_3ZO9u86GLMCCoOWxHBiiba_36.888790_30.704971@1306270050
169527075,SG_6Qqp3ptGr4mVLXL6zS1tKb_41.012379_28.975925@1306270050
169530055,SG_1Z2UvpsiAfYA0TGsVxPnf0_38.495068_27.066113@1306270050
169532017,SG_7VqrEOJ0M40YqZWCaqXJau_37.856682_32.406025@1306270050
169531003,SG_3PSsHt0nlVsW8sshhhGjJM_41.212254_31.411869@1306270050
169533001,SG_5ocwLCokDHjxsTemKpI2pJ_38.430519_27.145491@1306270050
1108660015,SG_7cqEMCW8AXp3DHnrp7V3Rx_41.033279_28.801914@1306270071
169529069,SG_5C7JiwRYZmKxmYtSlgg0i9_41.091736_28.864149@1306270050
169532031,SG_5NwwlXNEd21Jln8ChTqTxm_41.098919_29.033022@1306270050
169531015,SG_3CkzQp3g9VC9JVEjrbm6tt_39.943874_32.856033@1306270050
169533007,SG_3L1UsvkZhzJKLLTzkKJtgR_39.943874_32.856033@1306270050
169529079,SG_0DZGyGthtbkbIQa5G2bKl6_39.943874_32.856033@1306270050
169532047,SG_2EGlfDkWrE5ko93qDZgMlJ_38.612396_34.694656@1306270050
169533025,SG_5VDLU9tbp4urmXFeFffT6O_40.947395_29.395098@1306270050
169534001,SG_5gxpMesMffjyk0SpBVFmvJ_41.015110_28.973034@1306270050
169532065,SG_7GrbKgq8Ha7SnAPrIS2IML_41.066788_28.890583@1306270050
169532085,SG_5YtSIprTQGKpiwZqhlzrl7_38.724545_35.485966@1306270050
169533037,SG_3KXLW7UBilEAlhxco0tcxH_40.550957_34.956928@1306270050
1108610967,SG_5rDK4Hy33BRBYX75X8wdiI_41.053020_37.712849@1306270062
169532103,SG_6OM8sk76FXR7YHNiALFeiz_38.669331_39.222572@1306270050
1108670001,SG_3H2slqpwEARvxKSVJKosgo_41.012379_28.975925@1306270073
169530061,SG_2G2zrl4ipfbhc5ybfWvMEv_41.012379_28.975925@1306270050
169533059,SG_2zupbhrBayhcyxF2ErI7cq_38.885380_40.509541@1306270050
1108670003,SG_3gHxfjEsmrBbsuv2f1VyqJ_39.801872_30.512419@1306270073
169530079,SG_49bJgCJyua2tYKwpzbx1ya_36.933247_34.875896@1306270050
1108670005,SG_1y0HrpNHuIXaULaMjSYev3_39.147999_34.164001@1306270073
169530085,SG_4HiQzBGNheAWrImBL0w08J_39.924217_32.857643@1306270050
1108670007,SG_4EipL6BC9I1K8yozXjNeIl_42.026901_35.160000@1306270073
169536005,SG_0EIB7Rkj08nMpMs8wCFe9X_40.920761_29.188206@1306270051
169530109,SG_5pdfrKJ3u6MjC3nsmEv53Z_41.012379_28.975925@1306270050
1108670011,SG_5f6GcCifjXzyWRaZuMHRUo_39.652100_27.883301@1306270073
169530119,SG_6MYoirh1UFm3dwbPDK3VXQ_39.901199_32.858601@1306270050
169536021,SG_5coxN07QE4Ji0A51obxx0w_38.501118_43.372955@1306270051
169537007,SG_03gO0ifZ6nghwMS7aL98pK_39.943874_32.856033@1306270051
1108670015,SG_5iVPmwzUEGP5MPBPqyMETV_38.418697_27.129686@1306270073
169538001,SG_6CJgtoTIojJW8rlzLP7Nwg_37.964230_34.677952@1306270051
169539005,SG_30kbMn4aZiJLCWEly5Jmh4_39.728168_37.006016@1306270051
169530125,SG_4GBw0wg1HOttcFQap5pzWE_14.487687_121.022514@1306270050
1108571305,SG_7DMjBRTGDn2LgRz9J6pVJs_41.012379_28.975925@1306270054
169536029,SG_5mrstOmz7gozLbI67iRXgM_39.943874_32.856033@1306270051
169537013,SG_37y8K6P5osVHX8u3Yay2sM_39.955570_32.790318@1306270051
169538021,SG_1Yple3SzWDT6mgfwAucyMo_35.718201_35.892700@1306270051
169527093,SG_3UVsWZRWTnhGel3mjchGQN_38.309872_27.170511@1306270050
169539023,SG_3M63r28muxI02pnO782am5_38.741554_35.484348@1306270051
169537025,SG_1CG3zXJ4U4xr8ezbjiF3dY_39.920250_32.826862@1306270051
169540007,SG_1DzOxInwLvn4joPo643hw0_41.159443_27.802166@1306270051
169538037,SG_5jkPCniIrstpDncxyk7a0T_37.050354_37.411758@1306270051
169539065,SG_327CrWcQmPTrTNWoLMBjEV_40.240158_26.292271@1306270051
169540017,SG_03cjiJfH1ClrxlnpbK5Nu8_37.827686_27.841085@1306270051
169537037,SG_70bRZRpMV9TJh2FdFwkRje_36.797989_34.628223@1306270051
1108571307,SG_4KdrGlLs4iTGyHtacCBeem_41.058693_28.987904@1306270054
1108571351,SG_7e8ryDPVWyAq2sGsLr8AyK_41.012379_28.975925@1306270054
169546009,SG_2aNfpRdPJBj8ib08FGzVFb_39.943874_32.856033@1306270051
169545001,SG_5EhEOQTGTYO4yMEPrp7CNW_37.872509_32.494617@1306270051
169548001,SG_1XU2aOXuDxqG0wYOPnP7pX_41.021832_29.015442@1306270051
169549001,SG_6BZFBdyizggUimmB7HptVb_41.012379_28.975925@1306270051
1108571353,SG_5eywxWhnmGLVMPN1moW07P_41.057652_28.820398@1306270054
169546015,SG_5HSWbbQZPIdrIoTxXeijLB_41.055866_29.009726@1306270051
1108571357,SG_38OdlFrGqSDlriipqBbny5_41.012379_28.975925@1306270054
169546021,SG_2dbBMdC0J4Ifpqfii1w2bl_41.055866_29.009726@1306270051
169545009,SG_0so6Nyio4QcLGDGRyBtjCS_41.012379_28.975925@1306270051
169548023,SG_0FVGmQHRIhtMamwhloyvnF_39.943874_32.856033@1306270051
169549007,SG_5DKyqyNlV1DnaBx4NhRFye_41.012379_28.975925@1306270051
169546037,SG_4vak5k95SZegJDCpPqsUCk_38.615395_27.412918@1306270051
1108571359,SG_1IU2PGiKDC2HsyCBnmlloN_38.280602_31.913900@1306270054
169550007,SG_4jltt3hBSfpRiTcjjpR49V_41.012379_28.975925@1306270051
169545019,SG_44JGZ5ePszFHbv1lzLPWYu_41.015804_28.972918@1306270051
169546049,SG_0ckhYKrIxa09ZAcoLCjqyJ_39.642651_27.876112@1306270051
169548043,SG_1kC5PWXpDanyigrKKittI2_38.722576_35.489136@1306270051
169549017,SG_0MV2TxXFcxeA60ZdGVzWTp_41.012379_28.975925@1306270051
1108640005,SG_3KbloTwevDLqkse2Le3fbu_38.425148_27.142302@1306270067
169550011,SG_1V2OAjGUxRo4tEly0rD7tY_38.418697_27.129686@1306270051
1108640009,SG_0c14pPzpE4tK4ZTQkRLmQY_37.585835_36.928078@1306270067
169548047,SG_0U2gM7PtJtib6MzSwJMpBN_41.012379_28.975925@1306270051
169549023,SG_4y5FCNK8e1B4WRkl5Hepdj_41.012379_28.975925@1306270051
169551001,SG_6nMcwonElic3KEaqy56MkN_41.012379_28.975925@1306270051
1108640021,SG_0P49ncbDowgfqPn7FZONAF_41.040855_28.986183@1306270067
169528031,SG_2dEJwIE4m9qBrphrQw8pOI_41.012379_28.975925@1306270050
169548055,SG_5uMeYamrbBxvmP3R2sV1vn_36.887505_30.703135@1306270051
169549031,SG_2D2kALqWcsaU730StUgtkr_41.025505_28.972513@1306270051
169551011,SG_4wLXzkQ4oP1ODMDdWnDwbj_40.988670_28.796736@1306270051
1108640023,SG_0cblBUUP1WeOEKa1gsiKmY_41.040855_28.986183@1306270067
169552009,SG_4StivFXFkZz4haaw1m0hpi_41.012379_28.975925@1306270051
169528037,SG_5zryUFJNNz5VMQawqrS3yh_41.001934_29.080988@1306270050
1108640027,SG_4a4ZI68ZwHRVbH5wYblTta_41.040855_28.986183@1306270067
169548071,SG_5Whs6JYMabaSHDYLgqgFUS_38.317890_26.783634@1306270051
169549045,SG_2x8QYoIPofvVCQj6CNGVoj_40.891167_29.190931@1306270051
169552019,SG_0aKDdFcBdRaDpo3xJpN38k_41.012379_28.975925@1306270051
1108640029,SG_554mDgodwHoidsSiyfJhg5_38.279129_36.439323@1306270067
169528071,SG_1wFh8Lo96vimV7f2wElpJS_38.622200_27.429701@1306270050
169549057,SG_55jo9o6MfSTvd4c9lD6VJj_41.025505_28.972513@1306270051
169548083,SG_601zwu5SaDjnQkKDK2PADt_39.940887_32.855427@1306270051
169552029,SG_6SdbJCxi44s4KwKcGeHZIL_36.401848_36.349812@1306270051
1108640041,SG_1P7CGM0pcah1d0EonXZIcI_38.428429_27.145981@1306270067
169536043,SG_16E5oZhh901FCeCBujc6L1_41.289719_36.337841@1306270051
169528083,SG_5ktLgOv3xtPvsc9S6nowuN_41.012611_28.972010@1306270050
