bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country
"32.849346,39.915485,32.849346,39.915485",uuuu,85632393,,ea6bfd8a9851960c6cc46fcd1b10995e,,1bae462b6d160e4d65927d20315419ac,39.915485,32.849346,169646623,uuuu,TR,TR,1466313385,0,0,-1,Oguz Kirtasiye Ltd. Sti.,85904129,169/646/623/169646623.geojson,venue,85679409,simplegeo,,,TR
"28.975925,41.012379,28.975925,41.012379",uuuu,-1,,c0c1df29d72656d83306ea65a1ac3730,,934b9d98240618589dcadb3e67221e7c,41.012379,28.975925,169646437,uuuu,TR,TR,1466313382,0,0,-1,Ofis Kagit Kirtasiye San. Tic. A.s.,85906483,169/646/437/169646437.geojson,venue,85679237,simplegeo,,,TR
"32.850357,39.921368,32.850357,39.921368",uuuu,85632393,,82282cf6187433ea082d09db5e1d30c8,,8fe576df3cf6dbc4bd095fc59995a6fc,39.921368,32.850357,169646443,uuuu,TR,TR,1466313383,0,0,-1,Ofis B?ro Ara?. Tic. Ltd. Sti.,85904129,169/646/443/169646443.geojson,venue,85679409,simplegeo,,,TR
"29.086491,37.773525,29.086491,37.773525",uuuu,85632393,,2ed04bf451360abcbcbc0d4c10434322,,47f10025a46067c267e06d83f9a15f1e,37.773525,29.086491,169646555,uuuu,TR,TR,1466313383,0,0,-1,Nil A.s. Basin Yayin,-1,169/646/555/169646555.geojson,venue,85679277,simplegeo,,,TR
"28.975925,41.012379,28.975925,41.012379",uuuu,-1,,4ddc07b88e4178040b7a07efefdbb470,,934b9d98240618589dcadb3e67221e7c,41.012379,28.975925,169646829,uuuu,TR,TR,1466313386,0,0,-1,Okulis Kirtasiye B?ro Malz. San. Tic. Ltd. Sti.,85906483,169/646/829/169646829.geojson,venue,85679237,simplegeo,,,TR
"28.874546,41.017525,28.874546,41.017525",uuuu,85632393,,cec3c670f888502c45de9526fe06af42,,7a1680a202a1c9a705c762f11a3aa91a,41.017525,28.874546,169646577,uuuu,TR,TR,1466313384,0,0,-1,Ofis Kirtasiye Ltd. Sti.,85930139,169/646/577/169646577.geojson,venue,85679237,simplegeo,,,TR
"28.975925,41.012379,28.975925,41.012379",uuuu,-1,,1ffbe3fdd82f30cb9f06eb1212597f05,,934b9d98240618589dcadb3e67221e7c,41.012379,28.975925,169568115,uuuu,TR,TR,1466313268,0,0,-1,Geda Guvenlik Sistemleri San.tic.ltd.sti.,85906483,169/568/115/169568115.geojson,venue,85679237,simplegeo,,,TR
"32.849873,39.903465,32.849873,39.903465",uuuu,85632393,,f211a9702654920effbc5f5ca53eb217,,a6eb4504345bf3a710af92c2d8c64860,39.903465,32.849873,169568637,uuuu,TR,TR,1466313291,0,0,-1,Key A.s.,85929503,169/568/637/169568637.geojson,venue,85679409,simplegeo,,,TR
"29.132677,40.968739,29.132677,40.968739",uuuu,85632393,,302d617d678ed7ca8eced716d109d461,,1d107d77501289d41b3b04371093e6c4,40.968739,29.132677,169568093,uuuu,TR,TR,1466313266,0,0,-1,F?me Elektrik Ve Guvenlik Sistemleri San. Ve Tic.ltd.sti.,85930135,169/568/093/169568093.geojson,venue,85679237,simplegeo,,,TR
"32.87746,39.879372,32.87746,39.879372",uuuu,85632393,,f36942d3eb94214e3365e4420b0a460a,,38725eeed2ca70ea3df7d57570eed7ab,39.879372,32.87746,169568107,uuuu,TR,TR,1466313267,0,0,-1,Flash Trade,-1,169/568/107/169568107.geojson,venue,85679409,simplegeo,,,TR
